
facility_id,name,city,area,doctors_available,address,contact
1,District Hospital Sialkot 1,Sialkot,Ugoki Road,290,"266 Ugoki Road, Sialkot",07429671756
2,General Hospital Multan 2,Multan,Boson Road,489,"83 Boson Road, Multan",05674680715
3,General Hospital Quetta 3,Quetta,Samungli Road,445,"207 Samungli Road, Quetta",08087603859
4,General Hospital Hyderabad 4,Hyderabad,Hali Road,154,"137 Hali Road, Hyderabad",08247710932
5,General Hospital Quetta 5,Quetta,Hazara Town,332,"209 Hazara Town, Quetta",01317127484
6,Medical Centre Faisalabad 6,Faisalabad,Peoples Colony,174,"234 Peoples Colony, Faisalabad",08263982146
7,BHU Multan 7,Multan,Kalma Chowk,470,"2 Kalma Chowk, Multan",04499727875
8,Clinic Multan 8,Multan,Kalma Chowk,243,"234 Kalma Chowk, Multan",05339636057
9,District Hospital Faisalabad 9,Faisalabad,Peoples Colony,303,"19 Peoples Colony, Faisalabad",02895171870
10,District Hospital Islamabad 10,Islamabad,Blue Area,88,"241 Blue Area, Islamabad",04596158657
11,Clinic Rawalpindi 11,Rawalpindi,Murree Road,85,"121 Murree Road, Rawalpindi",04316117240
12,General Hospital Karachi 12,Karachi,North Nazimabad,200,"184 North Nazimabad, Karachi",05623869222
13,Medical Centre Lahore 13,Lahore,DHA,367,"124 DHA, Lahore",07923747407
14,District Hospital Quetta 14,Quetta,Hazara Town,87,"227 Hazara Town, Quetta",05946474367
15,Medical Centre Lahore 15,Lahore,Gulberg,342,"184 Gulberg, Lahore",09440640909
16,District Hospital Hyderabad 16,Hyderabad,Tando Wali Muhammad,360,"181 Tando Wali Muhammad, Hyderabad",03394210470
17,District Hospital Sialkot 17,Sialkot,Cantonment,96,"152 Cantonment, Sialkot",05623285884
18,Medical Centre Islamabad 18,Islamabad,I-8,462,"152 I-8, Islamabad",05171236851
19,BHU Faisalabad 19,Faisalabad,Satiana Road,324,"64 Satiana Road, Faisalabad",07549651370
20,BHU Sialkot 20,Sialkot,Hajipura,362,"114 Hajipura, Sialkot",01746120047
21,District Hospital Lahore 21,Lahore,Ferozpur Road,325,"70 Ferozpur Road, Lahore",06758692617
22,BHU Sialkot 22,Sialkot,Model Town,66,"190 Model Town, Sialkot",03773515850
23,District Hospital Faisalabad 23,Faisalabad,Clock Tower,112,"233 Clock Tower, Faisalabad",01390053293
24,District Hospital Lahore 24,Lahore,DHA,350,"111 DHA, Lahore",03529042284
